Name,Twitter Ticker,Country,Industry,Google Ticker,Google Peers,Twitter Peers
TRIUMPH GROUP,$TGI,United States,Industrials,NYSE:TGI,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
BE AEROSPACE,$BEAV,United States,Industrials,NASDAQ:BEAV,NYSE:HXL LON:MGGT EPA:ZC NYSE:TDG NYSE:TXT ,$HXL MGGT.L ZODC.PA $TDG $TXT 
AAR,$AIR,United States,Industrials,NYSE:AIR,LON:SNR LON:COB TSE:CAE NYSE:HXL NASDAQ:BEAV ,SNR.L COB.L CAE.TO $HXL $BEAV 
CAE,CAE.TO,Canada,Industrials,TSE:CAE,LON:SNR LON:COB NYSE:HXL LON:MGGT EPA:ZC ,SNR.L COB.L $HXL MGGT.L ZODC.PA 
SAFRAN,SAF.PA,France,Industrials,EPA:SAF,NYSE:TXT NYSE:COL NYSE:GR EPA:EAD NYSE:PCP EPA:ZC ,$TXT $COL $GR EAD.PA $PCP ZODC.PA 
SPIRIT AEROSYSTEMS ,$SPR,United States,Industrials,NYSE:SPR,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
ZODIAC AEROSPACE,ZODC.PA,France,Industrials,EPA:ZC,NYSE:HXL LON:MGGT NASDAQ:BEAV NYSE:TDG NYSE:TXT EPA:SAF EPA:EAD ,$HXL MGGT.L $BEAV $TDG $TXT SAF.PA EAD.PA 
GOODRICH,$GR,United States,Industrials,NYSE:GR,NYSE:TXT NYSE:COL EPA:SAF EPA:EAD NYSE:PCP ,$TXT $COL SAF.PA EAD.PA $PCP 
BOEING,$BA,United States,Industrials,NYSE:BA,EPA:EAD NYSE:PCP NYSE:UTX ,EAD.PA $PCP $UTX 
HEXCEL,$HXL,United States,Industrials,NYSE:HXL,LON:SNR LON:COB TSE:CAE LON:MGGT EPA:ZC NYSE:AIR NASDAQ:BEAV ,SNR.L COB.L CAE.TO MGGT.L ZODC.PA $AIR $BEAV 
BOMBARDIER,BBDa.TO,Canada,Industrials,TSE:BBD.A,NYSE:TDG NYSE:TXT NYSE:COL EPA:SAF NYSE:GR ,$TDG $TXT $COL SAF.PA $GR 
BOMBARDIER,BBDb.TO,Canada,Industrials,TSE:BBD.B,NYSE:TDG NYSE:TXT NYSE:COL EPA:SAF NYSE:GR ,$TDG $TXT $COL SAF.PA $GR 
MOOG,$MOGa,United States,Industrials,NYSE:MOG.A,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
ESTERLINE TECHNOLOGIES,$ESL,United States,Industrials,NYSE:ESL,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
UNITED TECHNOLOGIES,$UTX,United States,Industrials,NYSE:UTX,EPA:EAD NYSE:PCP NYSE:BA ,EAD.PA $PCP $BA 
PRECISION CASTPARTS,$PCP,United States,Industrials,NYSE:PCP,EPA:SAF NYSE:GR EPA:EAD NYSE:BA NYSE:UTX ,SAF.PA $GR EAD.PA $BA $UTX 
TELEDYNE TECHNOLOGIES,$TDY,United States,Industrials,NYSE:TDY,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
MTU AERO ENGINES ,MTXGn.DE,Germany,Industrials,ETR:MTX,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
ROCKWELL COLLINS,$COL,United States,Industrials,NYSE:COL,NASDAQ:BEAV NYSE:TDG NYSE:TXT EPA:SAF NYSE:GR ,$BEAV $TDG $TXT SAF.PA $GR 
MEGGITT,MGGT.L,United Kingdom,Industrials,LON:MGGT,LON:COB TSE:CAE NYSE:HXL EPA:ZC NASDAQ:BEAV LON:SNR ,COB.L CAE.TO $HXL ZODC.PA $BEAV SNR.L 
ROLLS ROYCE ,RR.L,United Kingdom,Industrials,LON:RR,NYSE:COL EPA:SAF NYSE:GR EPA:EAD NYSE:PCP ,$COL SAF.PA $GR EAD.PA $PCP 
COBHAM,COB.L,United Kingdom,Industrials,LON:COB,NYSE:AIR LON:SNR TSE:CAE NYSE:HXL LON:MGGT ,$AIR SNR.L CAE.TO $HXL MGGT.L 
EADS,EAD.PA,France,Industrials,EPA:EAD,EPA:SAF NYSE:GR NYSE:PCP NYSE:BA NYSE:UTX EPA:ZC ,SAF.PA $GR $PCP $BA $UTX ZODC.PA 
TRANSDIGM ,$TDG,United States,Industrials,NYSE:TDG,EPA:ZC NASDAQ:BEAV NYSE:TXT NYSE:COL EPA:SAF ,ZODC.PA $BEAV $TXT $COL SAF.PA 
SENIOR,SNR.L,United Kingdom,Industrials,LON:SNR,NYSE:AIR LON:COB TSE:CAE ,$AIR COB.L CAE.TO 
TEXTRON,$TXT,United States,Industrials,NYSE:TXT,EPA:ZC NASDAQ:BEAV NYSE:TDG NYSE:COL EPA:SAF ,ZODC.PA $BEAV $TDG $COL SAF.PA 
CHINA EASTERN AIRLINES,0670.HK,Hong Kong,Consumer Services,HKG:0670,NYSE:DAL BOM:500285 NSE:JETAIRWAYS HKG:0293 TPE:2618 ,$DAL SPJT.BO JET.NS 0293.HK 2618.TW 
DEUTSCHE LUFTHANSA,LHAG.DE,Germany,Consumer Services,ETR:LHA,LON:EZJ ASX:QAN NYSE:ALK NYSE:LUV NYSE:UAL ,EZJ.L QAN.AX $ALK $LUV $UAL 
QANTAS AIRWAYS,QAN.AX,Australia,Consumer Services,ASX:QAN,NASDAQ:JBLU LON:EZJ NYSE:ALK NYSE:LUV NYSE:UAL ,$JBLU EZJ.L $ALK $LUV $UAL 
CHINA AIRLINES,2610.TW,Taiwan,Consumer Services,TPE:2610,NSE:JETAIRWAYS HKG:0293 TPE:2618 ,JET.NS 0293.HK 2618.TW 
DELTA AIR LINES,$DAL,United States,Consumer Services,NYSE:DAL,NYSE:ALK NYSE:LUV NYSE:UAL BOM:500285 NSE:JETAIRWAYS ,$ALK $LUV $UAL SPJT.BO JET.NS 
VIRGIN AUSTRALIA ,VAH.AX,Australia,Consumer Services,ASX:VAH,NASDAQ:SKYW NZE:AIR EPA:AF NASDAQ:JBLU ,$SKYW AIR.NZ AIRF.PA $JBLU 
CHINA SOUTHERN AIRLINES,1055.HK,Hong Kong,Consumer Services,HKG:1055,NYSE:DAL BOM:500285 NSE:JETAIRWAYS HKG:0293 TPE:2618 ,$DAL SPJT.BO JET.NS 0293.HK 2618.TW 
SOUTHWEST AIRLINES,$LUV,United States,Consumer Services,NYSE:LUV,ASX:QAN NYSE:ALK NYSE:UAL NYSE:DAL BOM:500285 ,QAN.AX $ALK $UAL $DAL SPJT.BO 
SPICEJET,SPJT.BO,India,Consumer Services,BOM:500285,NYSE:LUV NYSE:UAL NYSE:DAL NSE:JETAIRWAYS HKG:0293 ,$LUV $UAL $DAL JET.NS 0293.HK 
